t,SOC_HE,SOC_HP,SOC_HE_aged,SOC_HP_aged
0,0.9,0.9,0.9,0.9
30,0.9,0.9,0.9,0.9
60,0.8997137670898522,0.9,0.8996454183620102,0.9
90,0.8994275341797043,0.9,0.8992908367240203,0.9
120,0.8991413012695565,0.9,0.8989362550860305,0.9
150,0.8988550683594086,0.9,0.8985816734480406,0.9
180,0.8985688354492608,0.9,0.8982270918100508,0.9
210,0.898282602539113,0.9,0.8978725101720609,0.9
240,0.8979963696289651,0.9,0.8975179285340711,0.9
270,0.8977101367188173,0.9,0.8971633468960812,0.9
300,0.8974239038086694,0.9,0.8968087652580914,0.9
330,0.8971376708985216,0.9,0.8964541836201015,0.9
360,0.8968514379883737,0.9,0.8960996019821117,0.9
390,0.8962789721680781,0.9,0.8953904387061319,0.9
420,0.8957065063477824,0.9,0.8946812754301521,0.9
450,0.8950195473634276,0.9,0.8938302794989764,0.9
480,0.8943325883790728,0.9,0.8929792835678008,0.9
510,0.893645629394718,0.9,0.8921282876366251,0.9
540,0.891928231933831,0.9,0.8900007978086858,0.9
570,0.8893521357425004,0.9,0.8868095630667769,0.9
600,0.8876347382816133,0.9,0.8846820732388376,0.9
630,0.8859173408207263,0.9,0.8825545834108983,0.9
660,0.8841999433598392,0.9,0.880427093582959,0.9
690,0.8816238471685086,0.9,0.8772358588410502,0.9
720,0.879047750977178,0.9,0.8740446240991413,0.9
750,0.8764716547858474,0.9,0.8708533893572324,0.9
780,0.8738955585945168,0.9,0.8676621546153236,0.9
810,0.8704607636727428,0.9,0.8634071749594451,0.9
840,0.8678846674814122,0.9,0.8602159402175362,0.9
870,0.8655948042002295,0.9,0.8573792871136172,0.9
900,0.8633049409190467,0.9,0.8545426340096982,0.9
930,0.861015077637864,0.9,0.8517059809057792,0.9
960,0.8590114472668291,0.9,0.84922390943985,0.9
990,0.8570078168957942,0.9,0.8467418379739209,0.9
1020,0.8550041865247593,0.9,0.8442597665079917,0.9
1050,0.8538592548841679,0.9,0.8428414399560322,0.9
1080,0.8528860629896653,0.9,0.8416358623868666,0.9
1110,0.8519128710951627,0.9,0.840430284817701,0.9
1140,0.8493367749038321,0.9,0.8372390500757921,0.9
1170,0.8461882128922059,0.9,0.8333386520579035,0.9
1200,0.8397307984392707,0.8898098095411956,0.8253392903048519,0.8897417503586801
1230,0.8340061402363139,0.8898098095411956,0.8182476575450544,0.8897417503586801
1260,0.8311438111348356,0.8898098095411956,0.8147018411651555,0.8897417503586801
1290,0.8291401807638007,0.8898098095411956,0.8122197696992264,0.8897417503586801
1320,0.8259916187521745,0.8898098095411956,0.8083193716813377,0.8897417503586801
1350,0.825132920021731,0.8898098095411956,0.8072556267673681,0.8897417503586801
1380,0.8242742212912875,0.8898098095411956,0.8061918818533984,0.8897417503586801
1410,0.8234155225608439,0.8898098095411956,0.8051281369394288,0.8897417503586801
1440,0.8229575499046073,0.8898098095411956,0.8045608063186449,0.8897417503586801
1470,0.8211256592796612,0.8898098095411956,0.8022914838355097,0.8897417503586801
1500,0.8174046314477393,0.8898098095411956,0.7976819225416414,0.8897417503586801
1530,0.8111075074244869,0.8898098095411956,0.7898811265058641,0.8897417503586801
1560,0.8046500929715517,0.8796196190823912,0.7818817647528125,0.8794835007173601
1590,0.7981926785186164,0.8587404176528127,0.7738824029997609,0.8584648493543758
1620,0.7917352640656812,0.8253907034239981,0.7658830412467093,0.8248923959827832
1650,0.7852778496127459,0.816982014793656,0.7578836794936576,0.8164275466284073
1680,0.7788204351598107,0.7996658170210021,0.749884317740606,0.7989956958393112
1710,0.7725233111365583,0.7996658170210021,0.7420835217048287,0.7989956958393112
1740,0.7662261871133058,0.7996658170210021,0.7342827256690514,0.7989956958393112
1770,0.7597687726603706,0.7957108829618158,0.7262833639159998,0.7950143472022954
1800,0.7533113582074353,0.7926466998168606,0.7182840021629482,0.7919296987087516
1830,0.7468539437545001,0.7878010148434431,0.7102846404098966,0.7870516499282638
1860,0.7403965293015649,0.7669218134138647,0.702285278656845,0.7660329985652795
1890,0.7340994052783124,0.7669218134138647,0.6944844826210677,0.7660329985652795
1920,0.7276419908253772,0.766529883011603,0.686485120868016,0.7656384505021518
1950,0.7224897984427161,0.766529883011603,0.6801026513841982,0.7656384505021518
1980,0.7160323839897809,0.7661379526093413,0.6721032896311466,0.7652439024390242
2010,0.7103077257868241,0.7661379526093413,0.6650116568713491,0.7652439024390242
2040,0.7054417663143109,0.7661379526093413,0.6589837690255212,0.7652439024390242
2070,0.7005758068417977,0.7661379526093413,0.6529558811796934,0.7652439024390242
2100,0.696568546099728,0.7661379526093413,0.6479917382478351,0.7652439024390242
2130,0.6902714220764755,0.7661379526093413,0.6401909422120577,0.7652439024390242
2160,0.6868366271547015,0.7661379526093413,0.6359359625561792,0.7652439024390242
2190,0.6805395031314491,0.7661379526093413,0.6281351665204019,0.7652439024390242
2220,0.6749007148015367,0.7661379526093413,0.6211499082520013,0.7652439024390242
2250,0.6688898236884321,0.7661379526093413,0.613703693854214,0.7652439024390242
2280,0.6640238642159189,0.7661379526093413,0.6076758060083861,0.7652439024390242
2310,0.6594441376535535,0.7661379526093413,0.6020024998005481,0.7652439024390242
2340,0.6554368769114838,0.7661379526093413,0.5970383568686898,0.7652439024390242
2370,0.6494259857983792,0.7661379526093413,0.5895921424709024,0.7652439024390242
2400,0.6431288617751267,0.7661379526093413,0.5817913464351251,0.7652439024390242
2430,0.6376904364823178,0.7661379526093413,0.5750542953133174,0.7652439024390242
